date,time,open,high,low,close,volume
2022.06.22,20:45,20175.88,20343.93,20167.38,20301.43,1038
2022.06.22,20:50,20301.43,20331.43,20203.93,20222.93,812
2022.06.22,20:55,20226.93,20246.3,20190.24,20235.49,660
2022.06.22,21:00,20238.46,20248.99,20193.83,20201.46,560
2022.06.22,21:05,20199.46,20301.64,20196.46,20273.63,986
2022.06.22,21:10,20273.63,20320.48,20246.2,20314.41,693
2022.06.22,21:15,20314.41,20345.21,20270.7,20299.74,829
2022.06.22,21:20,20299.74,20308.18,20238.6,20293.18,798
2022.06.22,21:25,20291.68,20293.68,20200.81,20217.31,587
2022.06.22,21:30,20217.31,20249.71,20192.75,20240.61,609
2022.06.22,21:35,20240.61,20279.11,20231.66,20242.71,550
2022.06.22,21:40,20236.21,20289.34,20217.3,20262.8,605
2022.06.22,21:45,20262.8,20278.71,20212.46,20214.71,569
2022.06.22,21:50,20213.96,20226.93,20165.08,20188.51,567
2022.06.22,21:55,20188.51,20216.09,20171.96,20191.71,549
2022.06.22,22:00,20191.96,20232.46,20163.52,20220.96,783
2022.06.22,22:05,20221.71,20242.21,20092.79,20111.79,763
2022.06.22,22:10,20109.29,20167.29,20104.79,20154.79,639
2022.06.22,22:15,20155.29,20166.79,20116.29,20125.79,609
2022.06.22,22:20,20124.79,20144.29,20115.79,20132.71,452
2022.06.22,22:25,20131.96,20136.59,20053.07,20081.46,803
2022.06.22,22:30,20080.46,20112.63,20059.21,20059.21,644
2022.06.22,22:35,20058.2,20070.71,19937.89,19937.89,1051
2022.06.22,22:40,19938.39,20021.73,19915.08,19993.23,1056
2022.06.22,22:45,19993.23,20003.23,19885.18,19900.87,802
2022.06.22,22:50,19892.37,20075.46,19884.37,20040.8,1175
2022.06.22,22:55,20045.3,20119.86,20044.8,20087.35,871
2022.06.22,23:00,20087.35,20115.21,19957.35,19990.9,1049
2022.06.22,23:05,19985.9,20085.71,19985.9,20037.71,679
2022.06.22,23:10,20037.46,20204.31,20031.58,20169.74,982
2022.06.22,23:15,20167.24,20207.24,20134.7,20156.05,665
2022.06.22,23:20,20154.05,20168.81,20116.34,20143.45,638
2022.06.22,23:25,20145.45,20150.21,20096.71,20099.6,477
2022.06.22,23:30,20100.21,20103.1,19895.97,19900.96,1050
2022.06.22,23:35,19898.46,19938.43,19723.37,19781.63,1506
2022.06.22,23:40,19782.13,19824.89,19733.19,19801.59,1099
2022.06.22,23:45,19802.59,19996.62,19734.62,19909.12,1256
2022.06.22,23:50,19909.12,19994.12,19896.62,19930.12,945
2022.06.22,23:55,19932.46,19947.12,19824.12,19831.62,891
2022.06.23,0:05,19891.62,19958.22,19890.62,19916.11,869
2022.06.23,0:10,19913.21,19924.21,19861.11,19913.71,791
2022.06.23,0:15,19910.48,19913.71,19853.98,19904.46,394
2022.06.23,0:20,19906.68,19977.46,19872.45,19875.95,669
2022.06.23,0:25,19875.95,19908.45,19861.46,19908.45,432
2022.06.23,0:30,19907.45,19928.95,19871.95,19892.99,250
2022.06.23,0:35,19891.49,19912.31,19802.48,19825.46,232
2022.06.23,0:40,19825.46,19866.46,19816.96,19864.96,233
2022.06.23,0:45,19864.96,19960.19,19864.96,19941.14,488
2022.06.23,0:50,19943.14,19993.32,19940.14,19948.47,493
2022.06.23,0:55,19948.47,20026.99,19945.45,19966.99,580
2022.06.23,1:00,19966.99,19985.91,19937.23,19941.23,753
2022.06.23,1:05,19941.23,19989.05,19916.07,19988.65,1007
2022.06.23,1:10,19988.65,20028.05,19914.43,19936.03,1200
2022.06.23,1:15,19936.03,19936.03,19882.24,19889.23,869
2022.06.23,1:20,19888.23,19929.23,19884.73,19916.23,637
2022.06.23,1:25,19916.23,19942.96,19898.23,19929.6,700
2022.06.23,1:30,19929.6,20002.97,19915.66,19997.96,870
2022.06.23,1:35,19996.95,20007.07,19991.01,19997.06,570
2022.06.23,1:40,19997.06,20036.21,19957.61,20024.96,473
2022.06.23,1:45,20021.21,20039.71,19984.71,20014.2,566
2022.06.23,1:50,20016.46,20133.07,20001.44,20093.53,673
2022.06.23,1:55,20098.96,20141.96,20061.63,20071.13,491
2022.06.23,2:00,20071.13,20094.96,20061.63,20076.36,470
2022.06.23,2:05,20075.86,20108.64,20074.43,20087.71,372
2022.06.23,2:10,20086.46,20106.46,20060.75,20081.25,519
2022.06.23,2:15,20082.96,20106.7,20040.96,20060.05,421
2022.06.23,2:20,20059.46,20093.05,20037.05,20068.71,368
2022.06.23,2:25,20073.07,20091.57,20046.21,20046.21,254
2022.06.23,2:30,20046.71,20089.96,20005.32,20020.21,510
2022.06.23,2:35,20017.32,20018.82,19962.9,19976.9,552
2022.06.23,2:40,19978.9,19991.94,19941.23,19981.73,487
2022.06.23,2:45,19980.23,19997.71,19929.18,19936.46,711
2022.06.23,2:50,19937.82,19991.71,19927.04,19938.21,603
2022.06.23,2:55,19937.96,19958.08,19931.58,19958.08,358
2022.06.23,3:00,19957.96,19990.35,19851.96,19957.35,1149
2022.06.23,3:05,19957.35,20060.68,19954.46,20026.63,1021
2022.06.23,3:10,20026.63,20102.76,20014.68,20081.18,847
2022.06.23,3:15,20082.68,20176.12,20055.68,20137.95,1163
2022.06.23,3:20,20143.45,20169.96,20106.21,20122.1,881
2022.06.23,3:25,20130.1,20404.78,20125.1,20305.71,1429
2022.06.23,3:30,20298.71,20379.11,20258.01,20299.63,1132
2022.06.23,3:35,20304.13,20305.63,20193.8,20218.31,1023
2022.06.23,3:40,20215.33,20317.36,20204.33,20298.36,993
2022.06.23,3:45,20298.36,20316.36,20257.29,20293.48,756
2022.06.23,3:50,20293.21,20427.9,20280.98,20392.06,1034
2022.06.23,3:55,20392.06,20483.46,20379.97,20387.47,1062
2022.06.23,4:00,20387.47,20427.47,20340.97,20361.7,859
2022.06.23,4:05,20361.7,20388.34,20346.7,20361.21,716
