N,upMarginPercentage,downMarginPercentage,logicNumber,percentageAverage,transactionsCount,logicScore
5,7,2,1,2.07946,1198,2491.19
5,7,2,2,1.38435,250,346.087
5,7,3,1,2.0583,1198,2465.85
5,7,3,2,1.30502,241,314.509
5,7,4,1,2.02625,1198,2427.45
5,7,4,2,1.26675,230,291.352
5,7,5,1,2.17864,1198,2610.02
5,7,5,2,1.66475,212,352.927
5,7,6,1,2.09888,1197,2512.35
5,7,6,2,1.74384,202,352.256
5,7,7,1,2.06384,1197,2470.42
5,7,7,2,1.91976,192,368.594
5,7,8,1,2.03963,1197,2441.43
5,7,8,2,1.94065,191,370.664
5,7,9,1,1.99105,1197,2383.28
5,7,9,2,2.09916,185,388.344
5,7,10,1,1.99186,1197,2384.25
5,7,10,2,2.42407,181,438.757
5,8,1,1,2.35831,1197,2822.9
5,8,1,2,1.34762,237,319.386
5,8,2,1,2.37347,1197,2841.04
5,8,2,2,1.27595,227,289.64
5,8,3,1,2.3895,1197,2860.23
5,8,3,2,1.20226,219,263.295
5,8,4,1,2.39464,1197,2866.38
5,8,4,2,1.47026,201,295.523
5,8,5,1,2.52524,1197,3022.71
5,8,5,2,1.45331,191,277.583
5,8,6,1,2.41627,1196,2889.86
5,8,6,2,1.53175,183,280.311
5,8,7,1,2.37712,1196,2843.04
5,8,7,2,1.71231,177,303.079
5,8,8,1,2.36562,1196,2829.28
5,8,8,2,1.97877,171,338.369
5,8,9,1,2.3039,1196,2755.47
5,8,9,2,1.9553,168,328.491
5,8,10,1,2.28558,1196,2733.55
5,8,10,2,2.08333,163,339.583
5,9,1,1,2.56605,1197,3071.57
5,9,1,2,1.71437,225,385.734
5,9,2,1,2.54897,1197,3051.12
5,9,2,2,1.73179,215,372.335
5,9,3,1,2.57164,1197,3078.25
5,9,3,2,1.75177,206,360.865
5,9,4,1,2.56549,1197,3070.89
5,9,4,2,1.7937,196,351.566
5,9,5,1,2.62171,1197,3138.18
5,9,5,2,1.90599,181,344.985
5,9,6,1,2.49212,1196,2980.58
5,9,6,2,2.14063,172,368.188
5,9,7,1,2.44242,1196,2921.14
5,9,7,2,2.43417,164,399.204
5,9,8,1,2.41876,1196,2892.84
5,9,8,2,2.5051,157,393.301
5,9,9,1,2.3499,1196,2810.48
5,9,9,2,2.51112,153,384.202
5,9,10,1,2.3236,1196,2779.03
5,9,10,2,2.81663,147,414.045
5,10,1,1,2.80726,1194,3351.87
5,10,1,2,1.44797,213,308.418
5,10,2,1,2.8031,1194,3346.91
5,10,2,2,1.53092,203,310.778
5,10,3,1,2.83813,1194,3388.72
5,10,3,2,1.65577,189,312.94
5,10,4,1,2.81436,1194,3360.35
5,10,4,2,1.79836,175,314.713
5,10,5,1,2.87876,1194,3437.24
5,10,5,2,2.11507,159,336.296
5,10,6,1,2.73681,1193,3265.02
5,10,6,2,2.31347,154,356.275
5,10,7,1,2.66573,1193,3180.21
5,10,7,2,2.50336,149,373.001
5,10,8,1,2.62302,1193,3129.26
5,10,8,2,2.36339,149,352.145
5,10,9,1,2.5545,1193,3047.52
5,10,9,2,2.54623,142,361.564
5,10,10,1,2.569,1193,3064.82
5,10,10,2,2.88041,135,388.856
10,1,1,1,0.585457,879,514.617
10,1,1,2,0.374221,433,162.038
